Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Assistant Engineer,Ministry of Agriculture,Diploma,29-39,3 years,Guwahati,42429-72074 INR,22-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Postman,Ministry of Finance,M.Tech,22-35,1 years,Chennai,36536-64476 INR,24-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
SSC CGL Officer,Ministry of Defense,Master's Degree,21-36,4 years,Bhopal,42717-70435 INR,11-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Environment,10th Pass,30-35,4 years,Bangalore,40957-70380 INR,07-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Engineer,Ministry of Environment,Master's Degree,25-39,1 years,Jaipur,45013-67339 INR,19-09-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Defense Officer,Ministry of Agriculture,12th Pass,22-40,1 years,Bangalore,31276-72226 INR,18-09-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Lab Assistant,Ministry of Agriculture,12th Pass,27-37,2 years,Chennai,32875-66303 INR,08-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Data Entry Operator,Ministry of Agriculture,Diploma,26-39,3 years,Lucknow,32847-70061 INR,23-09-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Senior Resident,Ministry of Home Affairs,12th Pass,26-40,1 years,Mumbai,48768-84522 INR,11-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Veterinary Doctor,Ministry of Railways,M.Tech,22-39,0 years,Hyderabad,40053-66128 INR,23-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Assistant,Ministry of Science and Technology,B.Sc,26-40,2 years,Lucknow,32567-67550 INR,04-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Village Development Officer,Ministry of Health,Diploma,23-36,0 years,Chennai,33767-84719 INR,17-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
UPSC NDA,Ministry of Defense,Bachelor's Degree,24-35,2 years,Mumbai,32936-69640 INR,03-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Postman,Ministry of Home Affairs,B.Com,30-39,3 years,Chennai,44567-65548 INR,25-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Village Development Officer,Ministry of Science and Technology,Master's Degree,21-40,3 years,Mumbai,32661-85180 INR,12-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Assistant Commandant,Ministry of Finance,10th Pass,25-37,1 years,Guwahati,39075-86994 INR,24-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Scientist B,Ministry of Defense,PhD,25-35,5 years,Guwahati,36678-80586 INR,11-11-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Translator,Ministry of Finance,M.Tech,25-40,5 years,Chandigarh,43571-75958 INR,18-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Assistant Commandant,Ministry of Environment,M.Sc,26-37,2 years,Mumbai,47511-67792 INR,10-11-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
IFS Officer,Ministry of Health,Bachelor's Degree,25-40,3 years,Ahmedabad,44016-77356 INR,18-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Pharmacist,Ministry of Agriculture,Bachelor's Degree,21-36,4 years,Kolkata,48037-77576 INR,27-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Bank PO,Ministry of Finance,10th Pass,24-39,2 years,Pune,41041-80275 INR,18-09-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Nurse,Ministry of Education,Master's Degree,29-38,3 years,New Delhi,34021-74389 INR,16-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Teacher,Ministry of Rural Development,B.Sc,22-35,4 years,Hyderabad,38722-87473 INR,13-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Bank PO,Ministry of Health,B.Tech,30-36,3 years,Mumbai,37697-71808 INR,25-09-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
UPSC NDA,Ministry of Environment,B.Com,22-36,3 years,Mumbai,37278-63778 INR,01-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Assistant Engineer,Ministry of Rural Development,Bachelor's Degree,28-40,1 years,New Delhi,32301-79868 INR,23-10-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Nurse,Ministry of Rural Development,M.Tech,26-38,0 years,Ahmedabad,30272-82370 INR,08-09-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Driver,Ministry of Railways,M.Tech,26-38,5 years,Hyderabad,37683-69826 INR,09-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Forest Officer,Ministry of Health,12th Pass,23-40,4 years,Bhopal,49279-62478 INR,09-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Fireman,Ministry of Home Affairs,B.Tech,28-35,3 years,Mumbai,48660-83040 INR,27-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Forest Officer,Ministry of Environment,M.Sc,29-35,0 years,Lucknow,30131-78738 INR,05-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Librarian,Ministry of Health,10th Pass,26-37,0 years,Jaipur,45976-63368 INR,14-10-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Medical Officer,Ministry of Health,PhD,26-36,5 years,Hyderabad,30547-60046 INR,17-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Scientist B,Ministry of Science and Technology,B.Com,30-39,0 years,Chandigarh,40412-80857 INR,10-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
UPSC NDA,Ministry of Agriculture,Master's Degree,28-37,0 years,Chandigarh,41825-78562 INR,18-09-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Lab Assistant,Ministry of Agriculture,B.Tech,30-36,5 years,Ranchi,32563-60922 INR,14-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Lab Assistant,Ministry of Rural Development,Bachelor's Degree,30-35,5 years,Jaipur,44462-88078 INR,15-10-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Lecturer,Ministry of Education,Master's Degree,30-37,2 years,New Delhi,43571-74503 INR,12-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Agricultural Officer,Ministry of Health,M.Tech,26-37,5 years,Kolkata,36778-88558 INR,08-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
SSC CGL Officer,Ministry of Railways,B.Com,26-39,1 years,Jaipur,34096-66180 INR,22-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Assistant Professor,Ministry of Science and Technology,B.Tech,25-38,0 years,Kolkata,32568-88918 INR,05-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Agriculture,B.Com,29-37,0 years,Hyderabad,45395-79991 INR,23-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Railways,PhD,26-36,3 years,Ranchi,46104-64291 INR,22-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Pharmacist,Ministry of Defense,PhD,25-40,1 years,Bangalore,32538-74011 INR,04-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Scientist B,Ministry of Defense,PhD,21-37,0 years,Ranchi,35244-82595 INR,29-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Education,Diploma,23-39,2 years,Mumbai,33715-63480 INR,10-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Accountant,Ministry of Health,Master's Degree,28-39,1 years,Chandigarh,41212-79358 INR,12-10-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
IRS Officer,Ministry of Defense,M.Tech,27-35,5 years,Chandigarh,32691-88193 INR,24-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
IFS Officer,Ministry of Environment,Diploma,22-37,3 years,Guwahati,37579-76933 INR,14-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Police Sub Inspector,Ministry of Railways,Bachelor's Degree,24-36,2 years,New Delhi,49378-66833 INR,25-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Mechanic,Ministry of Rural Development,B.Com,21-40,0 years,Kolkata,39272-81076 INR,09-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Forest Officer,Ministry of Science and Technology,MBBS,29-38,5 years,Chandigarh,48920-73035 INR,26-09-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Scientist B,Ministry of Rural Development,M.Sc,21-40,0 years,Chandigarh,31145-73128 INR,25-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Assistant Professor,Ministry of Environment,10th Pass,21-38,2 years,Ranchi,46429-65567 INR,29-10-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Police Sub Inspector,Ministry of Agriculture,Diploma,24-39,4 years,Hyderabad,42008-61505 INR,21-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Lecturer,Ministry of Health,12th Pass,28-39,2 years,Mumbai,36869-78886 INR,15-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Public Prosecutor,Ministry of Health,PhD,27-37,2 years,Ahmedabad,41316-88808 INR,02-11-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Data Entry Operator,Ministry of Home Affairs,M.Sc,21-35,0 years,Lucknow,46410-63191 INR,12-09-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Defense Officer,Ministry of Railways,12th Pass,28-35,4 years,Jaipur,33521-86245 INR,30-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Railway Engineer,Ministry of Science and Technology,12th Pass,30-37,0 years,Guwahati,38890-62461 INR,15-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Lab Assistant,Ministry of Education,10th Pass,24-39,0 years,Kolkata,35335-88278 INR,06-11-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Health,12th Pass,25-40,3 years,Jaipur,47685-69850 INR,19-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
SSC CGL Officer,Ministry of Science and Technology,Bachelor's Degree,26-38,5 years,Ranchi,41347-89827 INR,16-11-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Data Entry Operator,Ministry of Health,10th Pass,25-39,4 years,Ranchi,34591-87362 INR,04-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Scientist B,Ministry of Rural Development,M.Sc,30-36,2 years,Lucknow,33962-78729 INR,25-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
SSC CGL Officer,Ministry of Agriculture,10th Pass,28-35,3 years,Hyderabad,35771-81190 INR,15-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Veterinary Doctor,Ministry of Education,12th Pass,23-36,1 years,Lucknow,45530-63701 INR,12-09-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Stenographer,Ministry of Education,PhD,25-38,4 years,Chandigarh,30916-86355 INR,27-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Accountant,Ministry of Home Affairs,B.Tech,23-40,1 years,Kolkata,47873-86790 INR,29-09-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Gram Sevak,Ministry of Agriculture,Diploma,25-37,3 years,Bangalore,45386-83325 INR,18-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Postman,Ministry of Railways,MBBS,24-39,2 years,Pune,47794-64973 INR,14-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Junior Engineer,Ministry of Defense,B.Sc,27-38,3 years,Chandigarh,33200-70788 INR,18-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Assistant Commandant,Ministry of Education,M.Tech,22-40,3 years,Pune,34820-87401 INR,08-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Stenographer,Ministry of Education,M.Sc,26-37,5 years,Lucknow,47113-70173 INR,23-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Finance,Master's Degree,27-39,3 years,Bhopal,37119-88961 INR,30-09-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Driver,Ministry of Education,Master's Degree,29-40,0 years,Jaipur,46927-67578 INR,04-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Librarian,Ministry of Science and Technology,Master's Degree,27-38,2 years,Lucknow,36289-69302 INR,23-11-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Gram Sevak,Ministry of Finance,Master's Degree,24-37,5 years,Ranchi,42741-80819 INR,21-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Stenographer,Ministry of Environment,M.Sc,30-35,1 years,Pune,43789-72818 INR,23-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Fireman,Ministry of Environment,Master's Degree,24-36,3 years,Pune,40046-89395 INR,05-11-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
IAS Officer,Ministry of Science and Technology,PhD,25-35,1 years,Mumbai,40590-74159 INR,08-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Lab Assistant,Ministry of Environment,Diploma,22-40,2 years,Ranchi,41521-84064 INR,24-10-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Teacher,Ministry of Home Affairs,12th Pass,26-37,1 years,Mumbai,32214-69883 INR,23-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Pharmacist,Ministry of Finance,Diploma,22-40,1 years,Patna,41764-87283 INR,13-09-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Agricultural Officer,Ministry of Rural Development,Master's Degree,24-35,2 years,New Delhi,49374-74674 INR,08-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Accountant,Ministry of Home Affairs,B.Tech,28-38,0 years,Ranchi,47243-89671 INR,04-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Lab Assistant,Ministry of Environment,MBBS,22-35,4 years,Ranchi,49306-84930 INR,23-11-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
